Publication,Institution,"Type of relationship (publicate-for, etc)",Time (discrete or interval)
Penpoint,Makerere College,Published,
Dhana,Makerere University,Published,
Nexus,University of Nairobi,Published,1967-1968
Busara,University of Nairobi,Produced,
Busara,East African Publishing House,Published,1968-1975
Umma ,University of Dar es Salaam,Produced,
Umma ,East African Literaure Bureau,Published,
Tanzania Zamani,University of Dar es Salaam,Published,
Kenya Historical Review,East African Literature Bureau,Published,
Transition,Congress for Cultural Freedom,Funded,1961-1968
Daily Nation,,,
East Africa Journal,East African Institute of Social and Cultural Affairs,Published,
Proceedings of the East African Academy,East African Publishing House,Published,
