Person,Institution,Type of relationship (general),"Type of relationship (specific - professor, director, etc)",Time (discrete or interval),Time category,Place,Brief note,Event
Bethwell Ogot,Makerere University,Academic,Lecturer in History Department,,,,Friend of Tom Mboya,
Bethwell Ogot,University of Nairobi,Academic,Head of History Department,,,,,
Bethwell Ogot,East African Institute for Social and Cultural Affairs,Secretary General,,,,,,
Bethwell Ogot,East African Publishing House,Chair of Board of Directors,,,,,,
Bethwell Ogot,East African Academy,Treasurer,,1966,Year,,"Elected treasurer at the 1966 symposium, Kampala",
Sam Ntiro ,"East Africa High Commission, London",Diplomat,High commissioner ,early 1960s,Approximation,,,
Sheikh Hyder el-Kindy,East African Swahili Committee,Committee member,,1960s,,,,
Ebrahim Hussein,East African Swahili Committee,Contributor,,1969,Year,,"Contributed an article on Swahili theatre to the journal of the committee (vol. 39/1+2, 1969)",
Ebrahim Hussein,East African Publishing House,Published,,1970s,Year,,Published plays including 'Wakati ukuta' (1977) and a reference work 'Michezo ya kuigiza' (1975).,
Shaaban Robert,East African Swahili Committee,Chairman,,early 1960s,Approximation,,,
Shaaban Robert,East African Literature Bureau,Published,,1973,Year,,"Shaaban Robert's landmark Swahili novel, Kusadikika, was republished posthumously by the East African Literature Bureau in 1973, following its original publication in 1951.",
Shaaban Robert,East African Literature Bureau,Council member,,1951-52,Interval,,Served as one of Tanganyika's representatives to the EALB Advisory Council.,
Thomas Marealle,United Nations Food and Agriculture Organzation,,,1960s,Approximation,,,
Elimo Njau,Paa ya Paa Gallery,Founder,,1965,Year,,,
Elimo Njau,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,1965,Year,,,
Rebecca Njau,Makerere University,Student,Undergraduate in English; postgraduate diploma in Education,,,,,
Rebecca Njau,Paa ya Paa Gallery,Artist,"Held exhibitions of her batiks and tie-dye wall hangings, shirts, tops and other items",1968-1975,Interval,,,
Elvania Namukwaya Zirimu,Makerere University,Student,Undergraduate in Education,early 1960s,Approximation,,,
Micere Mugo,Makerere University,Student,,1961-1964,Interval,,,
Rebecca Mulira,East African Institute for Social and Cultural Affairs,Speaker,,February 1964,Year,,,
Rose Mbowa,Makerere University,Student,Undergraduate in English Literature,1964-1967,Interval,,,
Noah Sempira,East African Literature Bureau,Director,,,,,,
Reuben Olembo,East African Academy,Editor,,1966,Year,,"Elected editor at the 1966 symposium, Kampala",
Reuben Olembo,Makerere University,,,,,,,
Wilbert Chagula,East African Academy,President,,1963-1977,Interval,,,
