Person,Publication,Brief note,"Type of relationship (writer, reader, etc)",Date written for publication,Volume/Issue/Number,Explanation of link between person and publication
Bethwell Ogot,Kenya Historical Review,,Contributor,1974,"Vol 2, No. 2",
Bethwell Ogot,Kenya Historical Review,,Contributor,1976,"Vol 4, No. 1",
Bethwell Ogot,Transition,,Contributor,September 1963,"Vol 4, No. 10",
Bethwell Ogot,East Africa Journal,,Editor,,,
Shaaban Robert,Mambo Leo,,Writer,,,
Francis Khamisi,Baraza,,Editor,,,
Francis Khamisi,Sauti ya MADU,,Writer,,,
Rebecca Njau,Transition,,Contributor,March 1963,"Vol 3, No. 8",
Elvania Namukwaya Zirimu,Penpoint,,Contributor,1960s,,
Elvania Namukwaya Zirimu,Dhana,,Contributor,1971,"Vol 1, No. 2",
Elvania Namukwaya Zirimu,Dhana,,Contributor,1972,"Vol 2, No. 2",
Elvania Namukwaya Zirimu,Dhana,,Contributor,1973,"Vol 3, No. 1",
Elvania Namukwaya Zirimu,Dhana,,Contributor,1974,"Vol , No. 2",
Elvania Namukwaya Zirimu,Dhana,,Contributor,1975,"Vol 5, No. 2",
Micere Mugo,Penpoint,,Contributor,February 1964,Issue 16,
Micere Mugo,Penpoint,,Contributor,March 1965,Issue 18,
Barbara Kimenye,Daily Nation,,Columnist,1960s,,
Grace Ogot,Nexus,,Editorial board,1960s-1970s,,
Grace Ogot,Busara,,Editorial board,1960s-1970s,,
Grace Ogot,Transition,,Contributor,March-April 1964,"Vol 3, No. 13",
Grace Ogot,East Africa Journal,,Contributor,1960s,,
Rose Mbowa,Penpoint,,Contributor,October 1965,Issue 19,
,,,,October 1966,Issue 21,
Rose Mbowa,Dhana,,Contributor,1972,"Vol 2, No 1",
Taban lo Liyong,East Africa Journal,,Contributor,,,
Kirunda Kivejinja,The People,,Writer,,,
Hilary Ng'weno,Daily Nation,,Editor,,,
Hilary Ng'weno,Joe Magazine,,Founder,,,
Hilary Ng'weno,Kenya Weekly Review,,Founder; editor,,,
Ngũgĩ wa Thiong'o,Penpoint,,Contributor,early 1960s,,
Rajat Neogy,Transition,,Editor,1960s,,
Rajat Neogy,Transition,,Contributor,March 1963,"Vol 3, No. 8",
Rajat Neogy,Transition,,Contributor,June 1963,"Vol 3, No. 9",
Rajat Neogy,Transition,,Contributor,November 1963,"Vol 3, No. 11",
John Nagenda,Transition,,Contributor,October 1962,"Vol 2, No. 6&7",
Okot p'Bitek,Transition,,Contributor,October 1962,"Vol 2, No. 6&7",
Okot p'Bitek,Transition,,Contributor,September 1963,"Vol 4, No. 10",
Okot p'Bitek,Transition,,Contributor,March-April 1964,"Vol 3, No.13",
Okot p'Bitek,Transition,,Contributor,1964,"Vol 4, No. 17",
