,Unnamed: 0,Person,Publication,Brief note,"Type of relationship (writer, reader, etc)",Date written for publication,Volume/Issue/Number,Explanation of link between person and publication,Year
0,0,Bethwell Ogot,Kenya Historical Review,,Contributor,1974,"Vol 2, No. 2",,1974.0
1,1,Bethwell Ogot,Kenya Historical Review,,Contributor,1976,"Vol 4, No. 1",,1976.0
2,2,Bethwell Ogot,Transition,,Contributor,September 1963,"Vol 4, No. 10",,1963.0
3,3,Bethwell Ogot,East Africa Journal,,Editor,,,,
4,4,Shaaban Robert,Mambo Leo,,Writer,,,,
5,5,Francis Khamisi,Baraza,,Editor,,,,
6,6,Francis Khamisi,Sauti ya MADU,,Writer,,,,
7,7,Rebecca Njau,Transition,,Contributor,March 1963,"Vol 3, No. 8",,1963.0
8,8,Elvania Namukwaya Zirimu,Penpoint,,Contributor,1960s,,,1960.0
9,9,Elvania Namukwaya Zirimu,Dhana,,Contributor,1971,"Vol 1, No. 2",,1971.0
10,10,Elvania Namukwaya Zirimu,Dhana,,Contributor,1972,"Vol 2, No. 2",,1972.0
11,11,Elvania Namukwaya Zirimu,Dhana,,Contributor,1973,"Vol 3, No. 1",,1973.0
12,12,Elvania Namukwaya Zirimu,Dhana,,Contributor,1974,"Vol , No. 2",,1974.0
13,13,Elvania Namukwaya Zirimu,Dhana,,Contributor,1975,"Vol 5, No. 2",,1975.0
14,14,Micere Mugo,Penpoint,,Contributor,February 1964,Issue 16,,1964.0
15,15,Micere Mugo,Penpoint,,Contributor,March 1965,Issue 18,,1965.0
16,16,Barbara Kimenye,Daily Nation,,Columnist,1960s,,,1960.0
17,17,Grace Ogot,Nexus,,Editorial board,1960s-1970s,,,1970.0
18,18,Grace Ogot,Busara,,Editorial board,1960s-1970s,,,1970.0
19,19,Grace Ogot,Transition,,Contributor,March-April 1964,"Vol 3, No. 13",,1964.0
20,20,Grace Ogot,East Africa Journal,,Contributor,1960s,,,1960.0
21,21,Rose Mbowa,Penpoint,,Contributor,October 1965,Issue 19,,1965.0
