,Unnamed: 0,Person,Event,"Type of relationship (participated, created, against)",Time,Year
1,1,Grace Ogot,African Writers Conference,Participated,11-17 June 1962,1962
2,2,Ngũgĩ wa Thiong'o,African Writers Conference,Participated,11-17 June 1962,1962
3,3,Rajat Neogy,African Writers Conference,Participated,11-17 June 1962,1962
4,4,John Nagenda,African Writers Conference,Participated,11-17 June 1962,1962
5,5,Okot p'Bitek,African Writers Conference,Participated,11-17 June 1962,1962
6,6,Francis Khamisi,Conference for the Pan-African Freedom Movement for East and Central Africa,"Conference Chair, represented Mombasa African Democratic Union",September 1958,1958
7,7,Francis Khamisi,Conference for the Pan-African Freedom Movement for East and Central Africa,"Conference Chair, represented Mombasa African Democratic Union",April 1959,1959
8,8,Francis Khamisi,Conference for the Pan-African Freedom Movement for East and Central Africa,"Conference Chair, represented Mombasa African Democratic Union",September 1959,1959
9,9,Julius Kiano,Conference for the Pan-African Freedom Movement for East and Central Africa,Participated (Also spoke for PAFMECA at All-African People's Cofnerence in Accra),September 1958,1958
10,10,Tom Mboya,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Nairobi People's Convention Party,September 1958,1958
11,11,Tom Mboya,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Nairobi People's Convention Party,September 1959,1959
12,12,DO Makasembo (Dixon Ruoko),Conference for the Pan-African Freedom Movement for East and Central Africa,Represented District African Association,September 1958,1958
13,13,DO Makasembo (Dixon Ruoko),Conference for the Pan-African Freedom Movement for East and Central Africa,"Represented District African Association, part of Kenya Independence Movement at Moshi",September 1959,1959
14,14,EE Khasakhala,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,September 1958,1958
15,15,EE Khasakhala,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,September 1959,1959
16,16,EE Khasakhala,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,February 1962,1962
18,18,Julius Nyerere,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,September 1958,1958
19,19,Julius Nyerere,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,April 1959,1959
20,20,Julius Nyerere,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,September 1959,1959
23,23,John Rupia,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,September 1958,1958
24,24,John Rupia,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,April 1959,1959
25,25,John Rupia,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,September 1959,1959
26,26,Bhoke Munanka,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,September 1958,1958
27,27,Bhoke Munanka,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,September 1959,1959
31,31,Abeid Karume,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,September 1958,1958
32,32,Abeid Karume,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,April 1959,1959
33,33,Abeid Karume,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,September 1959,1959
34,34,Abeid Karume,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,February 1962,1962
35,35,Thabit Kombo,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,September 1958,1958
36,36,Thabit Kombo,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,April 1959,1959
37,37,Thabit Kombo,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,September 1959,1959
38,38,Issa Shariff Musa,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,September 1958,1958
39,39,Issa Shariff Musa,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,April 1959,1959
41,41,Rashidi Hamadi,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,September 1958,1958
42,42,Rashidi Hamadi,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party or Zanzibar Nationalist Party,April 1959,1959
43,43,Rashidi Hamadi,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party or Zanzibar Nationalist Party,September 1959,1959
44,44,A R Mohamed (Babu),Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,September 1958,1958
45,45,A R Mohamed (Babu),Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,April 1959,1959
46,46,A R Mohamed (Babu),Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,September 1959,1959
47,47,A R Mohamed (Babu),Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,February 1962,1962
48,48,Mohsin Abeid,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,September 1958,1958
49,49,Mohsin Abeid,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,April 1959,1959
50,50,Abbas Sykes,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,April 1959,1959
51,51,Jeremiah Bakampenja,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,April 1959,1959
52,52,Jeremiah Bakampenja,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,September 1959,1959
68,68,William Malu,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,September 1959,1959
69,69,William Malu,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,February 1962,1962
73,73,Milton Obote,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,September 1959,1959
74,74,Abu Mayanja,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,September 1959,1959
76,76,Benedicto Kiwanuka,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,September 1959,1959
77,77,Benedicto Kiwanuka,Conference for the Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,February 1962,1962
100,100,Abbas Sykes,All African Peoples Conference (Ghana),Represented TANU,December 1958,1958
102,102,Michael Kamaliza,All African Peoples Conference (Ghana),TFL?,December 1958,1958
110,110,Tom Mboya,All African Peoples Conference (Ghana),Nairobi Peoples Convention Party,December 1958,1958
116,116,Milton Obote,All African Peoples Conference (Ghana),Uganda National Congress,December 1958,1958
121,121,Abeid Karume,All African Peoples Conference (Ghana),Afro Shirazi Party,December 1958,1958
125,125,Julius Kiano,All African Peoples Conference (Ghana),TANU (but Kenya),December 1958,1958
