Person,Brief note,Publication,"Type of relationship (writer, reader, etc)",Time (discrete or interval)
Bethwell Ogot,,Kenya Historical Review,Writer,
,,Transition,Writer,
,,East Africa Journal,Editor,
Shaaban Robert,,Mambo Leo,Writer,
Francis Khamisi,,Baraza; Sauti ya MADU,Editor,
,,Sauti ya MADU,Writer,
Rebecca Njau,,Transition,Writer,March 1963
Elvania Namukwaya Zirimu,,Penpoint,Writer,1960s
,,Dhana,Writer,1970s
Micere Mugo,,Penpoint,Writer,1964-1965
Barbara Kimenye,,Daily Nation,Writer,1960s
Grace Ogot,,Nexus,Editorial board,1960s-1970s
,,Busara,Editorial board,1960s-1970s
,,Transition,Contributor,1960s
,,East Africa Journal,Contributor,1960s
Rose Mbowa,,Penpoint,Writer,1960s
,,Dhana,Writer,1970s
Taban lo Liyong,,East Africa Journal,Writer,
Kirunda Kivejinja,,The People,Writer,
Hilary Ng'weno,,Daily Nation,Editor,
,,Joe Magazine,Founder,
,,Kenya Weekly Review,Founder; editor,
Ngũgĩ wa Thiong'o,,Penpoint,Writer,
Rajat Neogy,,Transition,Editor,
John Nagenda,,Transition,Writer,
Okot p'Bitek,,Transition,Writer,
Elimo Njau,,Transition,Writer,
Ali Mazrui,Academic; airlift student; friend of Tom Mboya,Transition,Writer,
,,East Africa Journal,Contributor,
E.S. Atieno Odhiambo,Historian,East Africa Journal,Writer,
Philip Ochieng,Journalist; airlift student,East Africa Journal,Assistant Editor,
,,Daily Nation,,
,,Daily News,Editor,
Terry Hirst,Journalist; academic,East Africa Journal,Assistant Editor,
Odinge Odera,Journalist; Tom Mboya's speech writer; airlift student; former student of Richard Garver (CIA officer working at EAISCA),East Africa Journal,Inaugural editor,
Ezekiel Mphalele,Writer,East Africa Journal,Contributor,
Pamela Mboya,Airlift student; Tom Mboya's wife,East Africa Journal,Contributor,
Clement Lubembe,Politician and trade union leader,East Africa Journal,Contributor,
Yash Ghai,,East Africa Journal,Contributor,
Peter Anyang-Nyongo,Academic; politician,East Africa Journal,Contributor,
Lennard Okola,Publisher; writer,East Africa Journal,Contributor,
