,Person,Publication,Brief note,"Type of relationship (writer, reader, etc)",Date written for publication,Volume/Issue/Number,Explanation of link between person and publication,Year
0,Bethwell Ogot,Kenya Historical Review,,Contributor,1974,"Vol 2, No. 2",,1974.0
1,Bethwell Ogot,Kenya Historical Review,,Contributor,1976,"Vol 4, No. 1",,1976.0
2,Bethwell Ogot,Transition,,Contributor,September 1963,"Vol 4, No. 10",,1963.0
3,Bethwell Ogot,East Africa Journal,,Editor,,,,
4,Shaaban Robert,Mambo Leo,,Writer,,,,
5,Francis Khamisi,Baraza,,Editor,,,,
6,Francis Khamisi,Sauti ya MADU,,Writer,,,,
7,Rebecca Njau,Transition,,Contributor,March 1963,"Vol 3, No. 8",,1963.0
8,Elvania Namukwaya Zirimu,Penpoint,,Contributor,1960s,,,1960.0
9,Elvania Namukwaya Zirimu,Dhana,,Contributor,1971,"Vol 1, No. 2",,1971.0
10,Elvania Namukwaya Zirimu,Dhana,,Contributor,1972,"Vol 2, No. 2",,1972.0
11,Elvania Namukwaya Zirimu,Dhana,,Contributor,1973,"Vol 3, No. 1",,1973.0
12,Elvania Namukwaya Zirimu,Dhana,,Contributor,1974,"Vol , No. 2",,1974.0
13,Elvania Namukwaya Zirimu,Dhana,,Contributor,1975,"Vol 5, No. 2",,1975.0
14,Micere Mugo,Penpoint,,Contributor,February 1964,Issue 16,,1964.0
15,Micere Mugo,Penpoint,,Contributor,March 1965,Issue 18,,1965.0
16,Barbara Kimenye,Daily Nation,,Columnist,1960s,,,1960.0
17,Grace Ogot,Nexus,,Editorial board,1960s-1970s,,,1970.0
18,Grace Ogot,Busara,,Editorial board,1960s-1970s,,,1970.0
19,Grace Ogot,Transition,,Contributor,March-April 1964,"Vol 3, No. 13",,1964.0
20,Grace Ogot,East Africa Journal,,Contributor,1960s,,,1960.0
21,Rose Mbowa,Penpoint,,Contributor,October 1965,Issue 19,,1965.0
22,,,,,October 1966,Issue 21,,1966.0
23,Rose Mbowa,Dhana,,Contributor,1972,"Vol 2, No 1",,1972.0
24,Taban lo Liyong,East Africa Journal,,Contributor,,,,
25,Kirunda Kivejinja,The People,,Writer,,,,
26,Hilary Ng'weno,Daily Nation,,Editor,,,,
27,Hilary Ng'weno,Joe Magazine,,Founder,,,,
28,Hilary Ng'weno,Kenya Weekly Review,,Founder; editor,,,,
29,Ngũgĩ wa Thiong'o,Penpoint,,Contributor,early 1960s,,,1960.0
30,Rajat Neogy,Transition,,Editor,1960s,,,1960.0
31,Rajat Neogy,Transition,,Contributor,March 1963,"Vol 3, No. 8",,1963.0
32,Rajat Neogy,Transition,,Contributor,June 1963,"Vol 3, No. 9",,1963.0
33,Rajat Neogy,Transition,,Contributor,November 1963,"Vol 3, No. 11",,1963.0
34,John Nagenda,Transition,,Contributor,October 1962,"Vol 2, No. 6&7",,1962.0
35,Okot p'Bitek,Transition,,Contributor,October 1962,"Vol 2, No. 6&7",,1962.0
36,Okot p'Bitek,Transition,,Contributor,September 1963,"Vol 4, No. 10",,1963.0
37,Okot p'Bitek,Transition,,Contributor,March-April 1964,"Vol 3, No.13",,1964.0
38,Okot p'Bitek,Transition,,Contributor,1964,"Vol 4, No. 17",,1964.0
39,Elimo Njau,Transition,,Contributor,June 1963,"Vol 3, No. 9",,1963.0
40,Ali Mazrui,Transition,Academic; airlift student; friend of Tom Mboya,Contributor,1964,"Vol 4, No. 17",,1964.0
41,Ali Mazrui,Transition,,Contributor,1966,"Vol 5 (vi), No. 25",,1966.0
42,Ali Mazrui,East Africa Journal,,Contributor,,,,
43,E.S. Atieno Odhiambo,East Africa Journal,Historian,Contributor,,,,
44,Philip Ochieng,East Africa Journal,Journalist; airlift student,Assistant Editor,,,,
45,Philip Ochieng,Daily Nation,,,,,,
46,Philip Ochieng,Daily News,,Editor,,,,
47,Terry Hirst,East Africa Journal,Journalist; academic,Associate Editor,,,,
48,Odinge Odera,East Africa Journal,Journalist; Tom Mboya's speech writer; airlift student; former student of Richard Garver (CIA officer working at EAISCA),Inaugural editor,,,,
49,Ezekiel Mphalele,East Africa Journal,Writer,Contributor,,,,
50,Ezekiel Mphalele,Transition,Writer,Contributor,December/January 1968,"Vol 7 (iii), No. 35",,1968.0
51,Pamela Mboya,East Africa Journal,Airlift student; Tom Mboya's wife,Contributor,,,,
52,Clement Lubembe,East Africa Journal,Politician and trade union leader,Contributor,,,,
53,Yash Ghai,East Africa Journal,,Contributor,,,,
54,Peter Anyang-Nyongo,East Africa Journal,Academic; politician,Contributor,,,,
55,Lennard Okola,East Africa Journal,Publisher; writer,Contributor,,,,
56,David Rubadiri,Penpoint,"Diplomat, academic, playwright, poet",Contributor,August 1968,Issue 23,,1968.0
