Person,Institution,"Type of relationship (professor, director, etc)",Time (discrete or interval),Brief note
Bethwell Ogot,Makerere University,Lecturer in History Department,,Friend of Tom Mboya
,University of Nairobi,Head of History Department,,
,East African Institute for Social and Cultural Affairs,,,
Sam Ntiro ,"East Africa High Commission, London",High commissioner ,early 60s,
Shaaban Robert,Inter-territorial Language (Swahili) committee,,,
Thomas Marealle,United Nations Food and Agriculture Organzation,,1960s,
Elimo Njau,Paa ya Paa Gallery,Founder,1965,
Rebecca Njau,Makerere University,Student,,
,Paa ya Paa Gallery,,,
Elvania Namukwaya Zirimu,Makerere University,Student,1960s,
Micere Mugo,Makerere University,Student,1961-1964,
Rebecca Mulira,East African Institute for Social and Cultural Affairs,Speaker,February 1964,
Rose Mbowa,Makerere University,Student,1960s,
Noah Sempira,East African Literature Bureau,Director,,
Reuben Olembo,East African Academy,,,
,Makerere University,,,
Wilbert Chagula,East African Academy,President,1963-1977,
Sayed Abidi,East African School of Librarianship,Director,,
,Makerere University,,,
Taban lo Liyong,University of Nairobi,Lecturer,,
Kirunda Kivejinja,University of Delhi,,,
,Uganda Publishing House,,,
,Milton Obote Foundation,,,
Ngũgĩ wa Thiong'o,Makerere University,Student,1960-1963,
,University of Nairobi,Lecturer,1967-1977,
Charity Waciuma,East African Publishing House,Published by EAPH,1969,Author of Daughter of Mumbi
Philip Ndegwa,East African Publishing House,Published by EAPH,,Author of The Common Market and Development in East Africa
,Ministry of Economic Development and Planning,Worked for Tom Mboya,,
,Makerere University,Academic,,
Colin Legum,East African Publishing House,Published by EAPH,,Author of Pan Africanism and Nationalism; Ghost writer for Tom Mboya's Freedom and After; East Africa correspondent for The Observer
E.S. Atieno Odhiambo,University of Nairobi,Academic,,
Terry Hirst,Paa ya Paa Gallery,,,Journalist & academic
Ezekiel Mphalele,Chemchemi Cultural Centre,,,Writer
,Congress for Cultural Freedom,,,
,CIA,,,
Pamela Mboya,Makerere University,Student,,
Grace Ogot,East African Publishing House,Published by EAPH,,
Clement Lubembe,Kenya Federation of Labour,,,
Yash Ghai,University of Dar es Salaam,Academic,,
Richard Garver,CIA,Officer,,Former tutor of Odinge Odera
,East African Institute for Social and Cultural Affairs,,,
Peter Anyang-Nyongo,Makerere University,Student,,
Lennard Okola,East African Publishing House,Deputy Director,,
,Makerere University,Student,,
